""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
排名,队员,位置,出场次数,MVP次数,总击杀(场均),总助攻(场均),总死亡(场均),KDA,场均金钱,场均补刀,场均插眼,场均排眼,场均参团率,场均对位经济差,伤害占比,经济占比
57,Stay,ADC,6,0,49(3),86(5.3),45(2.8),4,12411,267,13,8,73%,-2468,28%,23%
58,UCAL,中单,10,4,73(2.8),90(3.4),46(1.7),4,11745,256,10,6,60%,-305,27%,22%
59,Eric,ADC,16,4,144(3.4),171(4),111(2.6),4,13136,284,16,13,62%,-1187,30%,24%
60,ShiauC,辅助,16,2,28(0.6),349(8.5),165(4),4,7414,34,56,11,70%,-294,6%,13%
61,Rich,上单,15,1,102(2.7),196(5.2),89(2.4),4,13125,266,9,9,47%,1060,24%,21%
62,LvMao,辅助,13,1,31(0.9),271(7.9),107(3.1),4,7331,30,52,9,65%,61,6%,12%
63,clid,打野,12,3,85(2.5),231(6.7),79(2.3),4,10483,164,14,14,73%,318,14%,18%
64,Zhuo,辅助,5,0,6(0.4),111(8.5),45(3.4),4,7689,37,60,14,71%,-393,7%,12%
65,Able,ADC,16,3,166(4),176(4.2),115(2.8),4,13187,272,20,15,65%,-411,25%,24%
66,Xiaopeng,打野,4,1,29(2.6),70(6.3),40(3.6),4,11013,177,14,17,73%,568,14%,18%
67,Flandre,上单,13,2,87(2.6),149(4.5),88(2.6),4,13396,285,8,8,53%,470,24%,22%
68,Lwx,ADC,17,5,167(3.6),230(5),115(2.5),4,13938,298,14,11,69%,346,27%,24%
69,Ale,上单,16,4,119(2.8),183(4.3),114(2.7),4,12722,267,11,6,51%,534,24%,21%
70,Shanks,中单,9,1,55(2.5),114(5.1),54(2.4),4,12123,269,11,8,76%,-276,26%,23%
71,Puff,ADC,16,4,128(3.2),138(3.4),105(2.6),4,13163,292,12,12,66%,-582,30%,25%
72,Meiko,辅助,18,0,26(0.5),393(8.7),144(3.2),4,7521,32,52,10,65%,372,6%,12%
73,Biubiu,上单,16,5,96(2.4),178(4.4),113(2.8),4,11361,233,11,6,60%,-877,23%,21%
74,Ahn,ADC,5,0,46(3.8),51(4.2),37(3),4,13308,282,12,12,57.9%,-1077,26%,22%
75,YeG,中单,7,0,55(3.2),99(5.8),51(3),3,12569,257,12,6,65%,-1346,22%,21%
76,shanji,上单,16,3,85(2),235(5.7),133(3.2),3,11416,229,10,4,61%,-464,24%,21%
77,Southwind,辅助,16,1,22(0.5),244(6.1),101(2.5),3,7066,42,50,9,66%,-292,7%,13%
78,COLD,辅助,16,2,27(0.6),305(7.4),149(3.6),3,7118,32,49,7,63%,-146,7%,13%
79,Wink,ADC,7,3,66(3.6),81(4.5),58(3.2),3,13132,275,14,13,63%,-1369,28%,23%
80,Xun,打野,16,4,102(2.6),224(5.8),116(3),3,10745,185,13,8,68%,-129,15%,19%
81,xiaolaohu,上单,17,3,144(3.1),177(3.8),128(2.7),3,13127,277,9,7,56%,463,26%,22%
82,zs,上单,10,1,47(1.9),107(4.4),64(2.6),3,11190,236,12,4,51%,-1212,21%,20%
83,shad0w,打野,15,5,108(2.7),224(5.6),142(3.5),3,10191,167,14,11,67%,-416,16%,19%
84,fearness,上单,15,2,97(2.5),189(4.9),120(3.1),3,11578,238,9,5,60%,-849,22%,21%
85,Breathe,上单,18,4,178(3.4),224(4.3),137(2.6),3,13405,278,11,8,54%,428,24%,22%
86,Aliez,上单,8,1,48(2.8),76(4.4),53(3.1),3,11927,244,10,6,51%,-2206,20%,20%
87,Lucas,辅助,15,0,25(0.6),274(7.6),117(3.2),3,7280,39,58,11,64%,-397,6%,13%
88,Kedaya,辅助,16,1,26(0.6),296(7.4),127(3.1),3,6989,35,50,11,71%,-421,6%,13%
89,Jinjiao,辅助,16,0,30(0.7),285(6.7),166(3.9),3,7137,37,40,9,62%,-447,8%,13%
90,Jay,中单,10,2,66(2.6),105(4.2),69(2.7),3,10577,227,9,6,62%,-2183,22%,20%
91,H4cker,打野,16,1,77(1.8),276(6.7),147(3.5),3,10023,163,12,11,65%,-633,12%,17%
92,Zdz,上单,16,0,99(2.4),174(4.3),119(2.9),3,12227,262,11,6,51%,-1443,23%,21%
93,Zika,上单,12,3,90(3),146(4.8),89(2.9),3,12784,261,8,7,56.9%,838,24%,22%
94,TheShy,上单,17,8,99(2.3),201(4.6),139(3.2),3,12813,264,10,5,55%,267,28%,22%
95,Captain,中单,6,0,30(2.1),47(3.3),32(2.2),3,11025,244,15,8,59%,-2647,23%,21%
