

















排名 队员 位置 出场次数 MVP次数 总击杀(场均) 总助攻(场均) 总死亡(场均) KDA 场均金钱 场均补刀 场均插眼 场均排眼 场均参团率 场均对位经济差 伤害占比 经济占比
55 Flandre 上单 11 1 65(2.6) 118(4.7) 58(2.3) 4 13161 280 8 7 55% 802 24% 22%
56 Maple 中单 4 1 29(2.9) 48(4.8) 19(1.9) 4 11929 264 13 7 70% -1245 27% 22%
57 Yuekai 中单 14 3 95(2.8) 184(5.5) 84(2.5) 4 12098 255 14 8 67% -575 25% 22%
58 Stay ADC 6 0 49(3) 86(5.3) 45(2.8) 4 12411 267 13 8 73% -2468 28% 23%
59 UCAL 中单 10 4 73(2.8) 90(3.4) 46(1.7) 4 11745 256 10 6 60% -305 27% 22%
60 Ming 辅助 15 4 23(0.6) 320(8.8) 114(3.1) 4 7782 33 56 10 63% 422 7% 12%
61 Able ADC 15 3 158(4.1) 160(4.2) 102(2.6) 4 13432 275 20 15 64% -301 25% 24%
62 Eric ADC 16 4 144(3.4) 171(4) 111(2.6) 4 13136 284 16 13 62% -1187 30% 24%
63 ShiauC 辅助 16 2 28(0.6) 349(8.5) 165(4) 4 7414 34 56 11 70% -294 6% 13%
64 Rich 上单 15 1 102(2.7) 196(5.2) 89(2.4) 4 13125 266 9 9 47% 1060 24% 21%
65 Crisp 辅助 16 3 38(0.8) 394(8.9) 131(2.9) 4 7859 35 57 10 68% 204 6% 13%
66 LvMao 辅助 13 1 31(0.9) 271(7.9) 107(3.1) 4 7331 30 52 9 65% 61 6% 12%
67 Breathe 上单 16 3 164(3.7) 196(4.4) 113(2.5) 4 13658 280 11 8 56% 492 24% 22%
68 Zhuo 辅助 5 0 6(0.4) 111(8.5) 45(3.4) 4 7689 37 60 14 71% -393 7% 12%
69 Xiaopeng 打野 4 1 29(2.6) 70(6.3) 40(3.6) 4 11013 177 14 17 73% 568 14% 18%
70 Hang 辅助 16 4 21(0.5) 362(8.6) 144(3.4) 4 7319 37 49 10 72% -62 7% 12%
71 Ale 上单 16 4 119(2.8) 183(4.3) 114(2.7) 4 12722 267 11 6 51% 534 24% 21%
72 Shanks 中单 9 1 55(2.5) 114(5.1) 54(2.4) 4 12123 269 11 8 76% -276 26% 23%
73 iBoy ADC 16 3 114(3) 161(4.2) 99(2.6) 4 13786 306 10 14 62% -650 25% 23%
74 Puff ADC 16 4 128(3.2) 138(3.4) 105(2.6) 4 13163 292 12 12 66% -582 30% 25%
75 Biubiu 上单 16 5 96(2.4) 178(4.4) 113(2.8) 4 11361 233 11 6 60% -877 23% 21%
76 Ahn ADC 5 0 46(3.8) 51(4.2) 37(3) 4 13308 282 12 12 57.9% -1077 26% 22%
77 ON 辅助 15 1 20(0.5) 254(7) 121(3.3) 3 7441 38 61 13 64% 39 7% 12%
78 YeG 中单 7 0 55(3.2) 99(5.8) 51(3) 3 12569 257 12 6 65% -1346 22% 21%
79 Cube 上单 16 8 107(2.8) 142(3.7) 98(2.5) 3 13268 278 14 6 56% 972 25% 22%
80 COLD 辅助 15 2 27(0.7) 286(7.5) 138(3.6) 3 7209 31 50 7 63% -79 6% 13%
81 Southwind 辅助 16 1 22(0.5) 244(6.1) 101(2.5) 3 7066 42 50 9 66% -292 7% 13%
82 shanji 上单 15 3 80(2.1) 221(5.8) 123(3.2) 3 11604 233 10 4 61% -347 24% 21%
83 xiaolaohu 上单 16 3 138(3.2) 161(3.8) 116(2.7) 3 13198 278 9 7 56% 756 26% 23%
84 Leyan 打野 16 4 79(2) 210(5.5) 109(2.8) 3 10986 197 13 17 65% 401 15% 18%
85 Wink ADC 7 3 66(3.6) 81(4.5) 58(3.2) 3 13132 275 14 13 63% -1369 28% 23%
86 Xun 打野 16 4 102(2.6) 224(5.8) 116(3) 3 10745 185 13 8 68% -129 15% 19%
87 yuyanjia 辅助 13 0 25(0.8) 201(6.7) 88(2.9) 3 7144 30 50 8 66% -281 6% 12%
88 zs 上单 10 1 47(1.9) 107(4.4) 64(2.6) 3 11190 236 12 4 51% -1212 21% 20%
89 shad0w 打野 15 5 108(2.7) 224(5.6) 142(3.5) 3 10191 167 14 11 67% -416 16% 19%
90 fearness 上单 15 2 97(2.5) 189(4.9) 120(3.1) 3 11578 238 9 5 60% -849 22% 21%
91 Aliez 上单 8 1 48(2.8) 76(4.4) 53(3.1) 3 11927 244 10 6 51% -2206 20% 20%
92 Lucas 辅助 15 0 25(0.6) 274(7.6) 117(3.2) 3 7280 39 58 11 64% -397 6% 13%
93 Kedaya 辅助 16 1 26(0.6) 296(7.4) 127(3.1) 3 6989 35 50 11 71% -421 6% 13%
94 Jinjiao 辅助 16 0 30(0.7) 285(6.7) 166(3.9) 3 7137 37 40 9 62% -447 8% 13%
95 Jay 中单 10 2 66(2.6) 105(4.2) 69(2.7) 3 10577 227 9 6 62% -2183 22% 20%
96 H4cker 打野 16 1 77(1.8) 276(6.7) 147(3.5) 3 10023 163 12 11 65% -633 12% 17%
97 Zdz 上单 16 0 99(2.4) 174(4.3) 119(2.9) 3 12227 262 11 6 51% -1443 23% 21%
98 Zika 上单 12 3 90(3) 146(4.8) 89(2.9) 3 12784 261 8 7 56.9% 838 24% 22%
99 Captain 中单 6 0 30(2.1) 47(3.3) 32(2.2) 3 11025 244 15 8 59% -2647 23% 21%
100 QiuQiu 辅助 16 1 31(0.7) 312(7.8) 161(4) 3 7293 32 51 9 64% -249 7% 12%
101 TheShy 上单 16 5 72(1.8) 183(4.6) 124(3.1) 3 12381 260 9 5 54% -90 27% 21%
102 New 上单 16 1 77(1.9) 138(3.4) 108(2.7) 3 11295 240 12 4 54% -1179 23% 21%
103 Zorah 辅助 3 0 6(0.7) 65(8.1) 38(4.7) 2 8024 35 62 11 70% -53 7% 12%
104 neny 上单 4 0 10(1.2) 31(3.8) 17(2.1) 2 11262 253 11 9 64% -1467 26% 21%
105 View 打野 7 1 34(2.2) 51(3.4) 48(3.2) 2 9342 152 11 9 72% -1395 17% 19%
106 Chieftain 打野 10 1 41(1.7) 110(4.5) 83(3.4) 2 9130 147 13 11 65% -1329 12% 17%
107 xiaoyueji ADC 4 0 28(3.5) 20(2.5) 31(3.8) 2 12358 273 13 10 61% -1876 24% 23%
108 Mole 中单 2 0 13(2.6) 31(6.2) 20(4) 2 12536 258 17 12 69% -1895 26% 19%
109 Lpc ADC 2 0 15(3) 20(4) 16(3.2) 2 12025 259 13 3 68% -3199 25% 22%
110 frigid 打野 7 0 27(1.6) 69(4.3) 59(3.6) 2 8956 146 12 10 56.9% -1251 12% 17%
111 Ke 辅助 1 0 2(1) 6(3) 5(2.5) 1 6690 21 46 10 72% -629 5% 13%
112 Kui 打野 1 0 3(1.5) 3(1.5) 9(4.5) 1 9436 145 12 12 42% -1300 12% 18%
113 Garvey 上单 3 0 3(0.7) 11(2.7) 12(3) 1 11892 261 14 8 42% -1727 24% 22%

